time,user_name,user_color,message
16,willythecid,#FF0000,"zrtAllo zrtAllo zrtAllo zrtAllo zrtAllo zrtAllo zrtAllo zrtAllo zrtAllo zrtAllo zrtAllo"
16,ygdras_heal,#A100FF,"@roquelaure2, <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3"
16,gro0oum,#00972A,"zrtJy zrtJy zrtJy zrtJy"
16,izanamimao,#FF69B4,"ponceCOEUR LuvHearts izanam5Hearts ponceCOEUR LuvHearts izanam5Hearts ponceCOEUR LuvHearts izanam5Hearts ponceCOEUR LuvHearts izanam5Hearts ponceCOEUR LuvHearts izanam5Hearts ponceCOEUR LuvHearts izanam5Hearts ponceCOEUR LuvHearts izanam5Hearts ponceCOEUR LuvHearts izanam5Hearts"
16,nirb0t,#FF0000,"adfaceCOEUR adfaceCOEUR adfaceCOEUR"
16,goathieer,#F9EAC3,"je bouge pas"
16,midgardian_,#DAA520,"ah???"
16,kyu_tsune,#8A2BE2,"adfacePANO adfacePANO adfacePANO adfacePANO adfacePANO adfacePANO adfacePANO"
16,cirdecdc,#FF0000,"om aloord peut etre"
16,gumiya27,#FF69B4,"ON Y CROIT"
16,john19998gp,,"Oh ?!"
16,yael523,#FF0000,"ALORS PEUT ÊTRE"
16,youzzi_,#FF0000,"ALORS"
17,corvoflower,#08A1FF,"OH !"
17,canleskis,#008000,"hahaha"
17,staf_,#0000FF,"oui mais non"
17,calamitydeath,#5F9EA0,"ponceCOEUR ponceCOEUR ponceCOEUR ponceCOEUR ponceCOEUR ponceCOEUR ponceCOEUR"
17,zluprus,#FF69B4,"ALORS PEUT ETRE"
17,mrbanane8,#FF0000,"NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis"
17,diaxii6_,#D2691E,"omg ?"
17,lumille__,#FF69B4,"<3 <3 <3 <3 <3 <3"
17,okamy_capitainefindus,#008000,"momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs"
17,neame_z,,"OE OE OE ALORS PEUT ETRE"
17,toaland,#8A2BE2,"alors peut-être ?"
17,legalorn,#1E90FF,"Allo"
17,jimmiepalm,#8A2BE2,"JE SUE DU CUL"
17,tobdoly,#FF0000,"METTEZ INTERNET DANS DU RIZ"
18,xenoshurederuwu,#FF0000,"noooon"
18,zed3ty,#008000,"ROMET"
18,suricarte,#1E90FF,"angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties"
18,kuroi__okami,#5F9EA0,"ahh"
18,skouss_,#FF5500,"adfacePEUTETRE adfacePEUTETRE adfacePEUTETRE adfacePEUTETRE"
18,sunvizors,#D2691E,"nooooo"
18,macpain78,#008000,"Jebaited"
18,neojet__,#8A2BE2,"ooooooooooooo"
18,scapin103,#DAA520,"aaaaaah"
18,ns_owwwo,#9ACD32,"seasideIsForWave seasideIsForWave seasideIsForWave seasideIsForWave seasideIsForWave seasideIsForWave seasideIsForWave"
19,serpencendre,,"angledCry angledCry angledCry angledCry angledCry angledCry angledCry"
19,drnessquik,#FF4500,"FeelsBadMan"
19,saltencoffee,#8A2BE2,"tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love tripla4Love"
19,brioche_cs,#00FF7F,"angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties"
19,pikkotictac,#0000FF,"ALORS PEUT-ÊTRE"
19,youzzi_,#FF0000,"OH"
19,natoshiro_,#FF7F50,"romet"
19,johqnn__,,"Ah bah non"
19,barrowenlive,#00FFCF,"soyez sage pour que ça revienne   ...."
19,babzarcadia,#00FF7F,"bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug peleriLove bgrHug"
19,amyrith5,#8A2BE2,"lbwPog"
19,yungloutre,#96FFDF,"interneeet"
19,azuraleuse,,"ah"
19,s4nsvisage,#8A2BE2,"bougez pas"
19,painwinter,#DAA520,"Retour soon PogChamp"
20,stemcell__,#FFD500,"RE"
20,leo_sheecool,#FF0000,"Alors peut être ?"
20,reijin373,#FF69B4,"On essaye de faire revenir internet !"
20,mkteo9,#FF7F50,"dommage"
20,leet_b0y,#FF0000,"Romet BibleThump"
20,carhton,#00FF7F,"angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties"
20,bakurio_,#FF4500,"1 viewer GG"
20,mystir_,#8A2BE2,"alors peut-être"
20,hauntone,#1E90FF,"Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler Joeler"
20,mrbibisan,#008000,"ALORS"
20,gowofree,#FF0000,"OMG"
20,mathoudeschamps,#04B06F,"<3 <3 <3 <3 <3 <3 <3 <3 <3 <3"
20,fabricofconcepts,#1E90FF,"angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties"
20,joremoj,#FF0000,"Joel Joeler Joeljam Joeler Joel Joeler Joeljam Joeler Joel Joeler Joeljam Joeler Joel Joeler Joeljam Joeler Joel Joeler Joeljam Joeler Joel Joeler Joeljam Joeler Joel Joeler Joeljam Joeler Joel Joeler Joeljam Joeler Joel Joeler Joeljam Joeler"
20,pri_am_,#DAA520,"ALLO ???"
21,agapanthe_,#82F1DD,"encremDizzy"
21,chemicalchiken,,"Dommage"
21,sadouv,#FF0000,"omg ?"
21,lablattemasquee,#00F9FD,"ponceRIP ponceRIP ponceRIP ponceRIP ponceRIP"
21,ideops,#8A2BE2,"3 secondes de RE LUL"
21,luminiis,#FFADED,"MYAAA MIAOU MYAAA"
21,nyunyu_pasuta,#2E8B57,"ALORS PEUT ETRE"
21,shnoupsagain,#FF0000,"gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray gom4rtPray"
21,vividono,#717185,"Achète!"
21,emjii__,#FBDC3F,"alors peut-etre"
22,squishyhobi,#8A2BE2,"angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties"
22,skuull_kid,#8A2BE2,"ultiaSNOOPY ultiaSNOOPY ultiaSNOOPY ultiaSNOOPY ultiaSNOOPY ultiaSNOOPY"
22,el_roulio_,,"weeeeeee"
22,zaaackx,#8A2BE2,"lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo lbwWololo"
22,petemul,#FF69B4,"Ça c'est un coup d'yann"
22,zigouillamor,#FF0000,"F5 ?"
22,abyss_flo,#00FF7F,"ROMET"
22,k0ulou,#FF7F50,"alors peut être"
22,gragnator_,#FC7801,"Aiee aie aie"
22,fraisealatarteterrifiante,,"momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs HypePurr HypePurr HypePurr HypePurr momanCoeurs momanCoeurs momanCoeurs"
22,louutregeniale,#00F5FF,"GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride GayPride"
22,mathlmt,#6B0A8D,"MIAOU MIAOU MIAOU"
22,cactuskipic,#C2A576,"ALORS POTETRE"
22,florentp83,#008000,"Nome"
22,absal0nn,#00FF7F,"Et non toujours pas"
23,atomskyu690,#8A2BE2,"@Jarm0u oh nooooooooon vs avez eté extraaaaaaa AmbessaLove AmbessaLove AmbessaLove AmbessaLove"
23,ayaki38,#00C5CC,"KEKWait"
23,heca_ttv,#FF0000,"F"
23,lulubulucks,#B3196E,"ALLO"
23,ellis__x,#9ACD32,"J'y crois"
23,rork91,#8A2BE2,"BigSad BigSad BigSad"
23,karua_chan,#5F9EA0,"alxiosBerry alxiosBerry alxiosBerry"
23,abiline_,#9ACD32,"ROMET ! ROMET §"
23,mattouriste_,#FF0000,"ROMET"
23,youzzi_,#FF0000,"ALORS"
23,ockaryslime,#2E8B57,"alors peut eeeetre"
23,canarlake,#FF69B4,"@Archiix28 ça a cut brutalement"
23,armteck,#FF7F50,"NonbinaryPride"
23,toccc_,#FF0000,"la salle à vraiment coupé internet ou pas ? LUL"
23,ewilanatsu,#FF0000,"ces encore casser xD"
24,nebuluise,,"ouin"
24,similixiii,#1E90FF,"ROMET"
25,youzzi_,#FF0000,"OH"
25,pepep91,#8A2BE2,"OMG ?"
25,monsieur_skull,#DAA520,"internet coupé bien sur"
25,zaya_nak,#1E90FF,"courage"
25,rock_sane,,"momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs momanCoeurs"
25,ritoxicgame,#5F9EA0,"MAIS NON D:"
25,veto_en_herbe,#5F9EA0,"ROMET LE STREAM"
25,croquecitrouille,#FF4500,"angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties"
25,xiwix,#FF7F50,"qui a skip la cinématique de fin la"
25,campietsephi,,"OH PopNemo PopNemo PopNemo"
25,arteak,#008000,"mrmvAerith"
26,galures,#2E8B57,"pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur  pastequeKeur"
26,axorm,#FFFF00,"angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties angledPanties"
26,resonances_,,"!album"
26,luciefaireeee,#FF0000,"alors peut etre"
26,neibulia,#FF7CA4,"ironmouseSABERDANCE ironmouseSABERDANCE ironmouseSABERDANCE ironmouseSABERDANCE ironmouseSABERDANCE ironmouseSABERDANCE ironmouseSABERDANCE ironmouseSABERDANCE ironmouseSABERDANCE ironmouseSABERDANCE"
26,reijin373,#FF69B4,"On essaye de faire revenir internet !"
